Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Reached_ontime,Product_importance_enc,WarehouseBl_le,ModeShip_le
2,4,147,3,5,1920,1,0.0,4,1
5,3,271,5,9,1813,1,2.0,3,1
2,3,264,4,10,1648,1,0.0,0,1
3,3,163,3,9,1257,1,1.0,4,2
3,4,211,3,8,3710,1,1.0,1,2
4,4,201,2,1,3147,1,0.0,4,2
5,3,197,4,2,2222,1,0.0,0,2
5,1,264,3,6,2882,1,0.0,1,2
4,3,131,5,6,1659,1,0.0,4,2
3,2,159,3,4,1681,1,1.0,4,2
3,3,135,3,8,1074,1,0.0,4,2
3,5,103,3,3,1403,1,0.0,0,2
4,3,169,2,2,1399,1,0.0,2,2
3,2,201,3,5,2040,1,1.0,4,2
5,2,173,3,7,1855,1,0.0,1,1
3,4,205,3,10,2728,1,0.0,3,1
2,5,166,3,3,1832,1,1.0,4,0
3,2,264,3,5,3861,1,1.0,0,0
3,2,141,3,7,1933,1,0.0,0,0
3,4,194,3,3,2169,1,1.0,1,2
3,4,244,8,1,2703,1,0.0,3,2
3,5,226,2,2,1043,1,1.0,2,2
4,4,173,5,2,1175,1,1.0,4,2
3,5,194,3,10,2277,1,1.0,3,2
3,5,183,3,2,3459,1,0.0,4,2
4,3,244,3,8,3318,1,1.0,1,2
2,2,189,4,9,3413,1,0.0,2,2
4,3,275,10,10,2093,1,1.0,3,2
5,5,263,8,9,2236,1,1.0,4,2
3,3,235,3,5,3065,1,0.0,1,2
4,4,199,2,9,3075,1,0.0,4,2
3,2,177,3,10,1641,1,0.0,1,2
5,3,230,3,3,2923,1,1.0,1,2
5,4,160,4,6,1603,1,0.0,0,2
4,2,174,3,9,1682,1,0.0,2,2
3,1,215,3,2,3873,1,1.0,1,2
5,1,206,2,2,3490,1,0.0,2,1
5,5,261,3,8,3257,1,1.0,3,1
5,4,245,5,6,3592,1,0.0,4,0
3,4,176,3,8,1567,1,1.0,1,0
3,4,156,2,8,1145,1,0.0,3,0
5,4,189,5,3,3301,1,0.0,1,0
3,3,255,2,7,3311,1,2.0,2,0
2,2,236,3,3,3416,1,1.0,3,2
4,2,179,4,1,1063,1,0.0,4,2
3,3,234,3,8,2334,1,1.0,1,2
3,5,194,2,4,3496,1,1.0,4,2
3,1,201,6,3,2497,1,1.0,3,2
3,2,260,3,2,2176,1,1.0,2,2
4,1,140,3,1,1464,1,1.0,4,2
5,3,245,2,8,3231,1,1.0,4,2
3,4,253,3,6,3788,1,0.0,2,2
3,1,141,3,6,1361,1,0.0,2,2
4,4,157,2,2,1087,1,0.0,2,2
5,2,105,4,1,1622,1,2.0,4,2
4,3,202,3,2,3962,1,1.0,3,2
4,5,249,2,4,2725,1,0.0,3,2
3,1,242,3,10,3606,1,1.0,1,2
5,1,158,3,9,1483,1,0.0,3,1
5,3,146,4,5,1718,1,0.0,4,1
4,3,244,3,1,3982,1,1.0,2,1
5,4,263,3,10,2538,1,2.0,3,1
4,5,202,3,6,2616,1,0.0,0,1
4,4,227,3,1,2761,1,1.0,1,1
4,2,187,2,6,3625,1,0.0,0,0
3,3,241,3,5,2713,1,0.0,4,2
5,3,150,2,2,1682,1,0.0,0,2
3,1,151,2,4,1748,1,0.0,1,2
3,4,265,8,2,3622,1,0.0,0,2
5,3,200,8,9,2741,1,0.0,2,2
2,1,111,2,10,1920,1,2.0,4,2
3,2,223,3,6,2127,1,1.0,3,2
4,4,177,2,6,1112,1,0.0,1,2
3,3,162,3,7,1901,1,1.0,4,2
4,5,195,5,10,3537,1,1.0,3,2
4,1,224,2,8,3638,1,0.0,4,2
4,3,141,3,2,1915,1,0.0,3,2
4,1,114,3,9,1240,1,1.0,4,2
4,3,257,3,5,2489,1,1.0,4,2
3,4,261,2,1,3398,1,1.0,1,1
4,4,224,3,9,2952,1,1.0,4,1
5,3,216,3,1,2434,1,1.0,3,1
3,2,140,2,7,1401,1,2.0,1,1
4,4,201,3,7,2644,1,2.0,0,0
2,3,251,3,2,3351,1,0.0,2,0
3,1,232,3,9,2958,1,0.0,3,2
4,2,170,2,1,1446,1,0.0,2,2
5,4,279,2,1,3933,1,1.0,4,2
4,3,119,5,5,1841,1,1.0,3,2
3,4,187,2,8,3725,1,2.0,3,2
4,3,261,3,10,2802,1,0.0,1,2
3,1,218,3,4,2304,1,0.0,2,2
5,2,244,3,8,3571,1,0.0,1,2
3,2,251,2,5,3443,1,0.0,4,2
2,2,161,2,1,1642,1,1.0,0,2
3,5,212,3,6,2069,1,2.0,3,2
4,1,166,3,3,1453,1,2.0,2,2
4,1,143,2,3,1996,1,1.0,1,2
4,4,161,3,6,1386,1,0.0,3,2
4,1,258,3,3,3928,1,1.0,1,2
5,3,188,7,3,3637,1,1.0,4,2
4,1,208,7,8,2193,1,2.0,2,2
4,3,162,2,2,1714,1,0.0,3,2
3,5,242,3,3,2268,1,1.0,0,1
5,2,208,3,8,3442,1,1.0,4,1
5,3,236,3,7,3589,1,1.0,0,1
2,1,113,5,9,1957,1,0.0,2,1
4,5,274,10,5,3910,1,1.0,0,1
4,1,264,2,8,2436,1,0.0,4,1
3,3,255,2,3,2894,1,1.0,3,1
5,2,261,8,1,3308,1,1.0,0,1
3,5,188,3,9,3206,1,2.0,2,1
3,5,243,3,4,3189,1,1.0,1,2
5,4,133,3,9,1051,1,0.0,4,2
4,3,136,3,9,1548,1,1.0,0,2
4,3,210,3,6,2568,1,1.0,1,2
3,3,241,5,8,2182,1,0.0,3,2
3,3,254,3,3,2837,1,1.0,4,2
4,5,170,3,9,1138,1,0.0,4,2
4,4,142,4,8,1777,1,0.0,4,2
3,2,167,2,2,1010,1,0.0,2,2
3,1,138,5,8,1349,1,1.0,3,2
3,3,152,3,5,1385,1,1.0,4,2
4,4,198,2,5,2270,1,0.0,2,1
4,5,268,3,3,2758,1,1.0,3,1
3,4,195,3,10,2021,1,1.0,0,1
6,3,236,3,6,2639,1,1.0,0,1
3,4,262,3,7,2424,1,0.0,2,1
3,1,185,3,3,3051,1,1.0,0,0
3,2,203,3,3,2791,1,2.0,1,2
2,1,264,3,10,3409,1,1.0,4,2
4,1,260,2,2,2980,1,0.0,3,2
4,3,173,2,10,1179,1,0.0,1,2
5,2,230,6,10,3604,1,0.0,3,2
4,3,171,6,9,1909,1,1.0,1,2
5,2,191,2,6,2059,1,2.0,2,2
4,1,140,3,9,1431,1,1.0,4,1
4,4,184,4,8,2306,1,1.0,3,1
3,3,218,2,9,2069,1,1.0,3,1
3,1,135,2,7,1316,1,1.0,4,1
5,4,212,6,5,2041,1,1.0,3,0
4,2,166,3,5,1610,1,0.0,0,0
3,5,176,3,1,1982,1,2.0,1,0
4,1,140,2,5,1274,1,0.0,4,0
4,1,247,3,9,2414,1,0.0,4,0
3,1,254,3,6,3496,1,1.0,1,2
4,1,258,3,4,3686,1,1.0,4,2
5,4,184,3,9,3332,1,0.0,1,2
5,3,236,6,9,3715,1,1.0,4,2
3,1,275,2,1,2597,1,2.0,4,2
3,3,110,3,7,1235,1,0.0,1,2
5,4,214,2,1,3709,1,1.0,3,2
2,2,192,2,8,3127,1,0.0,0,2
4,1,191,3,4,2724,1,0.0,1,2
3,3,141,3,10,1751,1,1.0,4,2
4,3,242,3,1,2808,1,0.0,3,2
4,3,190,3,2,2125,1,1.0,2,2
6,1,193,4,8,2952,1,1.0,1,2
4,3,252,2,1,2336,1,1.0,2,2
4,4,111,6,8,1145,1,0.0,1,2
3,1,191,3,4,3947,1,0.0,4,2
3,1,255,5,1,2713,1,0.0,3,2
4,2,256,2,10,3128,1,1.0,1,2
3,4,165,4,7,1627,1,1.0,4,2
3,3,144,3,1,1274,1,0.0,3,2
5,3,201,2,4,3757,1,0.0,1,2
4,4,216,2,6,3255,1,1.0,2,2
3,4,147,3,2,1307,1,0.0,3,1
3,5,264,2,1,3947,1,1.0,4,1
2,4,257,6,5,3986,1,0.0,4,1
3,4,218,3,4,3534,1,1.0,4,1
3,1,167,3,1,1252,1,0.0,1,0
3,2,152,6,7,1674,1,0.0,4,0
5,4,268,3,6,2206,1,1.0,1,0
6,5,118,2,6,1726,1,0.0,3,0
4,4,150,3,9,1620,1,2.0,4,2
4,1,153,4,7,1130,1,0.0,0,2
4,5,258,2,5,3512,1,2.0,4,2
6,2,118,2,2,1744,1,0.0,0,2
4,3,127,5,5,1205,1,0.0,3,2
3,5,180,3,6,1228,1,0.0,0,2
4,5,158,4,4,1595,1,0.0,4,2
4,5,238,3,9,1724,1,0.0,4,2
6,2,265,3,3,1904,1,0.0,0,2
6,5,100,4,3,1440,1,1.0,4,2
4,3,142,6,6,1459,1,0.0,0,2
4,3,153,3,2,1095,1,1.0,1,2
5,3,184,4,2,3798,1,1.0,1,2
5,3,177,3,1,1916,1,0.0,0,2
3,2,257,3,6,3620,1,0.0,4,2
5,2,243,2,4,3681,1,1.0,4,2
3,5,225,3,8,3813,1,1.0,1,2
4,4,151,3,6,1930,1,1.0,4,1
6,1,219,6,10,2385,1,0.0,4,1
3,1,268,3,3,3040,1,1.0,4,1
5,1,105,5,1,1101,1,0.0,2,1
4,5,153,3,10,1183,1,0.0,4,1
3,5,192,2,5,2339,1,1.0,3,1
5,5,284,6,9,3912,1,0.0,4,1
5,2,200,2,2,2075,1,0.0,1,0
3,3,205,2,2,2910,1,1.0,0,0
4,5,268,3,7,3622,1,1.0,1,0
3,1,156,3,1,1517,1,1.0,2,0
3,5,202,2,4,3372,1,0.0,4,0
4,5,171,3,2,1114,1,1.0,4,2
4,4,142,4,2,1461,1,1.0,0,2
3,2,184,4,10,2972,1,1.0,1,2
4,2,190,2,6,3595,1,1.0,4,2
3,1,171,2,1,1629,1,0.0,4,2
4,1,238,2,3,2241,1,0.0,2,2
3,2,174,3,4,1337,1,0.0,0,2
3,3,201,4,7,2299,1,1.0,2,2
3,5,234,2,4,2701,1,2.0,4,2
4,2,199,2,4,3351,1,1.0,4,2
4,5,156,3,2,1127,1,0.0,0,2
4,5,278,6,4,3909,1,0.0,4,2
2,2,145,2,1,1126,1,0.0,0,2
5,2,111,5,3,1711,1,1.0,3,2
4,1,167,3,10,1616,1,0.0,4,1
6,3,241,6,8,3878,1,2.0,0,1
5,4,140,4,5,1130,1,2.0,4,1
3,1,233,3,1,2744,1,1.0,4,0
3,5,121,3,10,1701,1,0.0,2,0
4,4,140,3,4,1467,1,1.0,2,0
3,2,150,3,4,1910,1,1.0,4,2
6,1,286,7,7,2338,1,1.0,3,2
4,2,209,4,10,3370,1,0.0,0,2
2,1,137,5,3,1037,1,1.0,4,2
3,4,240,2,2,3729,1,1.0,0,2
3,3,250,3,9,2752,1,1.0,1,2
4,2,189,3,6,3671,1,1.0,4,2
4,4,212,4,2,3830,1,1.0,3,2
3,4,242,5,5,2307,1,0.0,0,2
3,2,263,4,8,2599,1,1.0,0,2
5,3,248,3,4,2207,1,1.0,1,2
2,3,249,2,1,2905,1,0.0,3,2
3,1,142,4,4,1583,1,0.0,2,2
4,4,136,3,6,1900,1,0.0,4,2
6,5,260,4,10,2756,1,2.0,0,1
5,4,195,2,4,3108,1,0.0,4,1
3,3,242,3,7,3127,1,0.0,4,1
3,1,229,3,2,3963,1,1.0,1,1
4,2,237,2,6,2965,1,1.0,2,0
5,3,208,4,10,2419,1,1.0,0,0
5,4,229,2,9,3667,1,1.0,1,0
3,1,195,3,5,3251,1,2.0,4,2
4,1,151,2,6,1114,1,1.0,4,2
4,2,185,2,4,2212,1,1.0,3,2
3,3,191,3,5,2007,1,0.0,1,2
5,2,281,4,5,3357,1,2.0,3,2
6,3,176,5,7,1767,1,0.0,2,2
4,5,188,3,6,3361,1,0.0,0,2
3,2,188,3,3,3837,1,1.0,1,2
5,1,269,3,2,2136,1,1.0,4,2
3,3,190,7,7,2400,1,1.0,4,2
3,5,168,3,5,1143,1,0.0,1,2
4,4,226,7,9,2182,1,0.0,3,2
4,4,234,2,2,2008,1,2.0,3,2
3,2,169,10,4,1665,1,1.0,2,2
4,5,238,2,1,2644,1,0.0,4,1
4,2,202,4,1,3602,1,0.0,1,1
3,5,226,3,5,3914,1,1.0,2,1
5,4,242,3,2,3564,1,2.0,1,0
6,4,194,3,10,2554,1,0.0,4,0
4,1,210,2,7,3405,1,1.0,4,0
4,2,219,3,2,3402,1,0.0,4,0
5,1,182,3,8,3580,1,0.0,0,2
3,1,202,3,1,3738,1,0.0,4,2
3,1,155,2,6,1490,1,1.0,1,2
4,2,172,3,1,1182,1,0.0,3,2
3,1,165,3,1,1417,1,0.0,0,2
5,4,206,4,3,3755,1,0.0,0,2
3,5,212,3,2,2456,1,0.0,2,2
3,4,210,3,7,2878,1,0.0,0,2
4,5,266,3,5,3718,1,1.0,0,1
4,1,280,3,2,3366,1,1.0,1,1
5,2,262,6,10,3164,1,1.0,3,1
3,4,156,4,7,1492,1,1.0,3,0
3,1,139,3,6,1269,1,2.0,0,0
3,1,235,10,7,2991,1,0.0,0,2
3,4,175,2,2,1072,1,0.0,2,2
3,5,271,4,10,1679,1,0.0,0,2
3,2,139,3,4,1546,1,2.0,0,2
3,3,190,10,4,3062,1,1.0,4,2
5,5,248,3,9,3873,1,1.0,2,2
3,1,111,4,8,1620,1,0.0,3,2
4,2,183,3,5,3716,1,0.0,3,2
3,3,162,2,5,1202,1,1.0,1,2
3,2,135,2,2,1150,1,1.0,4,2
3,1,236,2,2,3949,1,2.0,1,2
3,3,188,4,3,3075,1,1.0,4,2
5,3,239,4,3,3734,1,0.0,4,2
3,3,133,6,10,1686,1,0.0,2,2
3,1,150,2,9,1158,1,0.0,0,2
3,1,164,2,2,1104,1,0.0,0,1
4,4,150,4,5,1263,1,0.0,4,1
3,5,166,3,1,1366,1,0.0,0,1
3,5,161,3,10,1978,1,1.0,3,1
6,2,181,4,6,3003,1,2.0,4,1
5,3,219,3,1,2027,1,0.0,4,1
3,3,183,3,6,3364,1,2.0,2,0
4,4,252,3,7,2477,1,1.0,0,0
3,1,164,2,2,1304,1,0.0,4,2
4,5,168,3,4,1363,1,0.0,0,2
3,2,206,2,3,2261,1,0.0,1,2
4,5,178,3,5,1012,1,0.0,4,2
3,5,225,3,1,2864,1,0.0,4,2
5,3,194,3,6,2736,1,1.0,2,2
4,1,132,4,10,1343,1,1.0,3,2
4,2,251,3,10,3517,1,0.0,0,2
3,1,215,6,5,3432,1,2.0,4,2
5,4,187,2,10,3549,1,1.0,0,2
3,5,268,4,5,3446,1,2.0,3,2
3,4,164,3,5,1408,1,0.0,4,1
6,4,190,3,7,3175,1,0.0,3,0
4,2,167,2,5,1169,1,0.0,1,0
3,2,164,4,2,1701,1,1.0,3,2
3,3,178,2,4,1778,1,1.0,4,2
4,5,144,3,9,1526,1,0.0,4,2
3,5,119,3,7,1021,1,1.0,4,2
3,5,244,3,8,3154,1,0.0,3,2
5,2,167,3,7,1939,1,1.0,2,2
4,2,139,3,5,1674,1,1.0,0,2
4,1,221,3,3,2546,1,0.0,2,2
3,3,139,2,9,1177,1,0.0,1,2
6,2,276,6,7,2437,1,1.0,4,2
3,2,123,4,7,1596,1,1.0,0,2
3,2,180,2,6,1811,1,0.0,1,2
3,2,254,2,2,3239,1,1.0,3,2
4,5,153,3,3,1347,1,2.0,4,2
3,1,153,2,6,1314,1,0.0,2,2
3,2,154,2,4,1009,1,2.0,2,2
4,5,133,3,3,1403,1,1.0,4,1
2,5,116,3,3,1688,1,0.0,4,1
3,3,199,2,4,3553,1,0.0,3,1
5,3,167,2,3,1140,1,0.0,2,0
4,2,148,3,2,1805,1,1.0,0,0
5,2,132,2,8,1665,1,1.0,1,2
2,1,229,4,6,3757,1,0.0,4,2
3,4,240,2,8,3883,1,0.0,1,2
3,4,138,6,5,1853,1,1.0,1,2
4,4,141,2,7,1479,1,0.0,3,2
4,3,220,3,8,3342,1,1.0,4,2
3,4,175,3,4,1519,1,1.0,2,2
5,5,133,10,9,1724,1,1.0,1,2
4,2,191,3,3,2353,1,2.0,2,2
3,5,198,3,2,3417,1,0.0,4,2
4,3,261,3,6,2787,1,0.0,0,2
5,3,156,2,1,1147,1,0.0,1,2
3,5,183,2,10,2621,1,0.0,4,2
3,1,143,6,2,1323,1,1.0,2,2
4,1,141,2,10,1340,1,0.0,0,2
5,5,216,3,5,3137,1,0.0,2,2
4,2,141,2,8,1495,1,0.0,3,2
4,4,196,2,6,2718,1,0.0,3,1
3,1,197,2,4,3621,1,0.0,0,1
4,2,161,3,10,1928,1,1.0,2,1
3,5,151,3,3,1273,1,0.0,0,0
5,1,265,3,6,2452,1,1.0,2,0
4,2,273,5,6,2126,1,1.0,1,0
3,5,102,6,3,1341,1,1.0,4,0
4,2,273,2,9,3383,1,0.0,4,0
3,1,140,2,6,1435,1,0.0,4,2
5,3,167,3,5,1772,1,0.0,1,2
4,3,154,3,10,1711,1,1.0,0,2
4,1,217,3,2,2692,1,1.0,4,2
4,4,143,5,5,1027,1,2.0,0,2
4,1,178,3,9,1006,1,1.0,4,2
5,2,246,2,4,3617,1,0.0,3,2
5,3,209,4,7,2675,1,1.0,3,2
4,3,269,3,7,2538,1,0.0,2,2
3,2,132,2,6,1185,1,1.0,4,2
4,3,174,3,5,1502,1,0.0,3,2
3,1,150,3,8,1745,1,1.0,0,2
3,2,137,3,9,1347,1,1.0,1,2
4,5,159,3,2,1048,1,0.0,4,1
4,3,210,3,3,2742,1,0.0,0,1
4,1,227,3,5,3100,1,0.0,3,1
2,3,126,4,3,1364,1,2.0,0,1
4,3,132,4,10,1767,1,1.0,4,0
3,3,150,3,6,1775,1,0.0,4,0
4,4,178,3,1,1165,1,0.0,3,0
3,5,245,4,4,2769,1,1.0,4,0
5,1,263,2,4,1092,1,1.0,0,2
3,4,214,8,6,2924,1,2.0,4,2
4,5,245,3,6,2717,1,1.0,4,2
4,2,225,2,6,2010,1,0.0,0,2
5,2,157,3,1,1798,1,0.0,1,2
3,1,164,3,9,1803,1,1.0,2,2
3,1,141,2,4,1297,1,0.0,4,2
6,2,131,5,5,1718,1,1.0,4,2
2,2,168,5,1,1885,1,1.0,3,2
4,2,180,3,3,1518,1,0.0,1,2
4,5,146,3,9,1685,1,0.0,4,2
4,1,207,2,2,3242,1,0.0,4,1
2,1,178,3,6,1184,1,0.0,4,1
5,2,193,2,1,2775,1,0.0,3,0
4,1,164,2,3,1124,1,1.0,4,0
3,1,248,3,9,2616,1,0.0,1,0
3,5,152,2,6,1800,1,1.0,1,2
3,3,274,3,6,2986,1,0.0,0,2
4,1,216,4,4,2263,1,0.0,1,2
5,3,157,4,1,1306,1,0.0,2,2
4,3,172,3,6,1261,1,1.0,3,2
6,5,213,6,7,2709,1,0.0,4,2
3,2,155,3,7,1434,1,1.0,2,2
3,1,263,3,6,2715,1,1.0,3,2
3,2,212,3,9,2521,1,1.0,4,2
6,1,236,4,10,2030,1,0.0,2,2
4,2,165,3,7,1702,1,0.0,4,2
3,3,162,3,3,1693,1,0.0,3,2
2,2,146,3,1,1162,1,1.0,4,2
4,3,165,3,4,1484,1,0.0,2,2
5,3,145,2,6,1965,1,1.0,4,2
4,1,220,3,2,3886,1,2.0,4,2
3,3,200,3,4,3791,1,0.0,2,2
3,1,250,3,8,3617,1,0.0,4,2
3,3,273,6,6,1771,1,0.0,0,2
5,1,236,3,10,1347,1,1.0,2,2
6,3,281,5,8,1864,1,1.0,4,1
5,3,168,4,7,1298,1,0.0,3,1
4,1,144,4,5,1294,1,2.0,0,1
5,1,271,4,4,2718,1,0.0,2,1
3,3,203,3,4,3114,1,0.0,4,1
3,1,274,3,4,2087,1,0.0,0,1
3,3,214,2,4,3754,1,1.0,2,0
3,1,104,2,1,1021,1,0.0,1,0
3,4,155,3,4,1548,1,1.0,4,0
3,2,141,4,9,1909,1,0.0,0,2
5,4,151,4,10,1441,1,1.0,2,2
4,3,276,4,3,3889,1,0.0,0,2
4,4,243,3,10,3327,1,0.0,0,2
5,2,225,3,1,2049,1,1.0,2,2
3,4,176,3,4,1095,1,0.0,0,2
5,5,195,2,6,3936,1,0.0,4,2
6,4,217,5,7,3725,1,0.0,0,2
2,5,164,4,2,1439,1,1.0,2,2
5,5,180,4,10,1200,1,2.0,4,2
4,4,162,2,8,1386,1,1.0,1,2
5,3,254,2,4,3297,1,1.0,3,2
3,3,149,2,7,1145,1,1.0,2,2
4,2,218,2,1,2990,1,2.0,2,2
5,2,214,6,3,3234,1,0.0,1,2
4,2,217,3,1,3133,1,0.0,3,2
2,4,182,4,1,3624,1,1.0,2,2
6,4,201,2,4,5916,1,0.0,0,1
6,5,141,3,8,5031,0,1.0,1,1
3,3,219,3,4,5956,0,0.0,2,1
4,3,161,3,7,4245,0,2.0,4,1
4,5,225,4,5,4622,0,1.0,3,1
5,3,277,3,1,4186,1,1.0,4,1
3,3,256,4,3,4732,0,1.0,0,1
6,2,153,5,1,4597,1,0.0,1,1
4,4,135,3,4,4651,1,0.0,2,1
3,3,253,3,7,5085,0,1.0,4,1
4,5,139,3,5,5335,0,0.0,3,1
3,5,136,2,1,4971,0,2.0,4,1
4,1,172,3,7,4883,0,1.0,0,0
4,2,272,3,6,4559,0,2.0,1,0
3,3,207,3,1,5632,1,2.0,2,0
2,3,134,3,4,5958,0,0.0,4,0
3,3,238,8,3,4943,0,1.0,3,0
2,4,274,10,3,4167,1,2.0,4,0
4,2,237,6,8,5695,0,0.0,0,0
3,2,153,10,2,5455,0,2.0,1,0
4,1,223,3,8,4974,1,0.0,2,0
3,4,149,3,1,5040,1,0.0,4,0
3,5,132,3,7,4013,1,0.0,3,0
4,2,246,3,7,5616,0,0.0,4,0
4,2,159,5,4,5547,1,0.0,0,0
3,1,162,8,10,5429,0,2.0,1,0
3,3,123,5,5,4292,0,1.0,2,0
5,1,231,7,9,5558,0,2.0,4,0
3,1,213,10,9,4862,0,1.0,3,0
5,2,160,3,1,5834,0,2.0,4,0
4,4,225,5,5,5060,1,0.0,0,0
3,1,178,3,3,4811,0,0.0,1,0
4,1,273,3,5,5055,0,1.0,2,0
3,2,129,3,9,4342,1,2.0,4,0
3,1,273,6,9,1198,1,0.0,3,2
6,3,161,4,8,1247,0,1.0,4,2
4,5,139,3,3,5824,1,0.0,0,2
3,2,136,2,6,4002,1,2.0,1,2
4,4,172,3,1,4201,0,1.0,2,2
4,2,272,3,7,5927,0,2.0,4,2
3,2,207,3,3,4909,1,2.0,3,2
2,3,134,3,6,4444,1,0.0,4,2
3,2,238,8,3,4388,1,1.0,0,2
2,1,274,10,1,5622,0,2.0,1,2
4,3,237,6,8,5588,0,0.0,2,2
3,2,153,10,7,5305,0,2.0,4,2
4,2,223,3,7,4026,1,0.0,3,2
3,5,149,3,9,5412,0,0.0,4,2
3,3,132,3,6,5721,1,0.0,0,2
4,3,246,3,5,4710,0,0.0,1,2
4,3,159,5,4,4666,1,0.0,2,2
3,3,162,8,10,4842,0,2.0,4,2
3,1,123,5,10,4231,0,1.0,3,2
5,5,231,7,6,5755,0,2.0,4,2
3,3,213,10,2,4847,0,1.0,0,2
5,1,160,3,2,5141,1,2.0,1,2
4,3,225,5,8,4195,0,0.0,2,2
3,5,178,3,3,5540,0,0.0,4,2
4,5,273,3,2,4374,0,1.0,3,2
3,3,129,3,7,5197,1,2.0,4,2
3,1,273,6,1,1293,0,0.0,0,2
6,4,161,4,3,1747,1,1.0,1,2
5,2,206,4,5,1149,0,0.0,2,2
4,5,296,2,1,1678,0,1.0,4,2
3,2,249,5,6,1887,0,1.0,3,2
4,4,301,5,6,1931,0,0.0,4,2
4,3,296,3,4,1991,0,0.0,0,2
3,5,205,4,2,1648,0,0.0,1,2
3,3,132,2,9,4355,1,0.0,2,2
4,2,223,3,5,4282,0,2.0,4,2
3,1,190,3,2,4312,0,1.0,3,2
5,3,194,3,1,4331,0,0.0,4,2
2,4,176,2,2,5138,0,1.0,0,2
6,4,227,5,8,4388,0,1.0,1,2
5,1,149,2,9,5435,0,0.0,2,2
5,2,173,2,7,5836,0,0.0,4,2
3,2,181,2,6,5410,0,0.0,3,2
3,5,251,2,4,4015,0,0.0,4,2
4,5,243,3,2,4909,0,0.0,0,2
3,4,210,3,10,4398,1,0.0,1,2
5,2,145,4,9,4028,0,1.0,2,2
3,1,196,3,10,4546,0,0.0,4,2
3,4,154,2,5,5735,1,1.0,3,2
4,1,164,4,6,4432,1,0.0,4,2
4,2,210,3,1,4379,1,1.0,0,2
5,3,212,2,7,5219,0,0.0,1,2
3,1,263,2,9,4868,1,1.0,2,2
3,4,155,2,3,5481,1,0.0,4,2
3,4,223,2,9,4211,0,0.0,3,2
5,4,269,3,3,4489,0,0.0,4,2
3,4,117,3,6,4046,0,0.0,0,2
4,4,151,2,3,4105,1,0.0,1,2
4,2,271,3,4,4743,1,1.0,2,2
3,3,205,3,10,5714,0,0.0,4,2
5,3,210,5,9,5431,1,1.0,3,2
4,1,133,2,8,4277,0,1.0,4,2
5,2,215,6,5,5195,1,1.0,0,2
2,3,140,3,2,4691,0,0.0,1,2
3,3,255,2,8,5955,1,0.0,2,2
2,5,159,3,5,4190,0,0.0,4,2
5,3,169,2,8,5352,1,0.0,3,2
5,4,182,2,2,4554,1,1.0,4,2
2,5,231,2,10,4406,1,0.0,0,2
3,4,177,3,6,4445,0,0.0,1,2
4,3,250,3,3,5055,1,1.0,2,2
4,2,145,3,4,5122,1,1.0,4,2
2,5,117,3,2,4268,1,2.0,3,2
3,4,170,3,5,4716,1,0.0,4,2
4,4,173,3,9,5382,1,2.0,0,2
4,2,232,3,8,4658,1,1.0,1,2
3,2,231,4,4,5510,0,1.0,2,2
3,4,136,3,2,4524,1,1.0,4,2
4,1,189,3,5,4496,1,1.0,3,2
5,4,222,3,7,5340,0,0.0,4,2
